Country or Area,Gross enrolment ratio in upper secondary education
Afghanistan,27.0
Albania,81.0
Algeria,50.0
Andorra,84.0
Angola,22.0
Antigua and Barbuda,80.0
Argentina,68.0
Armenia,85.0
Australia,167.0
Austria,96.0
Azerbaijan,75.0
Bahamas,90.0
Bahrain,57.0
Bangladesh,40.0
Barbados,103.0
Belarus,80.0
Belgium,109.0
Belize,75.0
Benin,31.0
Bhutan,42.0
Bolivia (Plurinational State of),73.0
Bosnia and Herzegovina,84.0
Botswana,68.0
Brazil,75.0
Brunei Darussalam,68.0
Bulgaria,94.0
Burkina Faso,9.0
Burundi,13.0
Cambodia,26.0
Cameroon,31.0
Canada,102.0
Cape Verde,67.0
Central African Republic,31.0
Chad,18.0
Chile,82.0
China,71.0
Colombia,80.0
Comoros,30.0
Congo,31.0
Cook Islands,67.0
Costa Rica,75.0
Croatia,87.0
Cuba,85.0
Cyprus,96.0
Czech Republic,88.0
Côte d'Ivoire,31.0
Democratic People's Republic of Korea,68.0
Democratic Republic of the Congo,32.0
Denmark,119.0
Djibouti,25.0
Dominica,84.0
Dominican Republic,70.0
Ecuador,65.0
Egypt,51.0
El Salvador,44.0
Equatorial Guinea,31.0
Eritrea,22.0
Estonia,103.0
Ethiopia,16.0
Fiji,69.0
Finland,115.0
France,117.0
Gabon,31.0
Gambia,45.0
Georgia,81.0
Germany,107.0
Ghana,39.0
Greece,80.0
Grenada,89.0
Guatemala,48.0
Guinea,26.0
Guinea-Bissau,31.0
Guyana,78.0
Haiti,75.0
Honduras,71.0
Hungary,98.0
Iceland,115.0
India,50.0
Indonesia,63.0
Iran (Islamic Republic of),87.0
Iraq,57.0
Ireland,138.0
Israel,110.0
Italy,97.0
Jamaica,95.0
Japan,102.0
Jordan,73.0
Kazakhstan,80.0
Kenya,44.0
Kiribati,72.0
Kuwait,89.0
Kyrgyzstan,62.0
Lao People's Democratic Republic,32.0
Latvia,96.0
Lebanon,73.0
Lesotho,29.0
Liberia,31.0
Libya,57.0
Liechtenstein,23.0
Lithuania,105.0
Luxembourg,88.0
Madagascar,15.0
Malawi,15.0
Malaysia,50.0
Maldives,45.0
Mali,26.0
Malta,97.0
Marshall Islands,92.0
Mauritania,22.0
Mauritius,85.0
Mexico,61.0
Monaco,80.0
Mongolia,90.0
Montenegro,94.0
Morocco,57.0
Mozambique,11.0
Myanmar,38.0
Namibia,30.0
Nauru,68.0
Nepal,45.0
Netherlands,116.0
New Zealand,137.0
Nicaragua,54.0
Niger,4.0
Nigeria,41.0
Norway,124.0
Oman,93.0
Pakistan,26.0
Panama,54.0
Papua New Guinea,68.0
Paraguay,56.0
Peru,77.0
Philippines,76.0
Poland,97.0
Portugal,98.0
Qatar,86.0
Republic of Korea,94.0
Republic of Moldova,86.0
Romania,98.0
Russian Federation,86.0
Rwanda,20.0
Saint Kitts and Nevis,93.0
Saint Lucia,93.0
Saint Vincent and the Grenadines,91.0
Samoa,76.0
San Marino,96.0
Sao Tome and Principe,19.0
Saudi Arabia,95.0
Senegal,31.0
Serbia,85.0
Seychelles,104.0
Sierra Leone,31.0
Singapore,68.0
Slovakia,88.0
Slovenia,98.0
Solomon Islands,26.0
Somalia,30.0
South Africa,92.0
South Sudan,30.0
Spain,133.0
Sri Lanka,45.0
State of Palestine,78.0
Sudan,26.0
Suriname,56.0
Swaziland,45.0
Sweden,101.0
Switzerland,86.0
Syrian Arab Republic,37.0
Tajikistan,61.0
Thailand,64.0
The former Yugoslav Republic of Macedonia,78.0
Timor-Leste,49.0
Togo,31.0
Tonga,68.0
Trinidad and Tobago,87.0
Tunisia,73.0
Turkey,64.0
Turkmenistan,80.0
Tuvalu,26.0
Uganda,13.0
Ukraine,78.0
United Arab Emirates,57.0
United Kingdom,96.0
United Republic of Tanzania,30.0
United States,90.0
Uruguay,68.0
Uzbekistan,124.0
Vanuatu,41.0
Venezuela (Bolivarian Republic of),71.0
Viet Nam,65.0
Yemen,34.0
Zambia,30.0
Zimbabwe,30.0
