Country or Area,Male Gross enrolment ratio in pre-primary education,Female Gross enrolment ratio in pre-primary education
Afghanistan,48,49
Albania,56,55
Algeria,79,76
Andorra,104,99
Angola,103,105
Antigua and Barbuda,76,76
Argentina,73,75
Armenia,29,34
Australia,79,78
Austria,100,100
Azerbaijan,26,25
Bahamas,70,70
Bahrain,25,23
Bangladesh,14,13
Barbados,108,108
Belarus,100,98
Belgium,118,118
Belize,45,47
Benin,18,19
Bhutan,2,2
Bolivia (Plurinational State of),45,45
Bosnia and Herzegovina,17,17
Botswana,19,19
Brazil,70,70
Brunei Darussalam,88,88
Bulgaria,80,79
Burkina Faso,3,3
Burundi,9,9
Cambodia,13,13
Cameroon,28,29
Canada,71,71
Cape Verde,70,70
Central African Republic,6,6
Chad,2,2
Chile,55,58
China,54,54
Colombia,49,49
Comoros,22,21
Congo,12,13
Cook Islands,166,149
Costa Rica,71,72
Croatia,62,61
Cuba,100,100
Cyprus,81,81
Czech Republic,107,105
Côte d'Ivoire,4,4
Democratic People's Republic of Korea,56,56
Democratic Republic of the Congo,3,3
Denmark,97,96
Djibouti,4,4
Dominica,111,114
Dominican Republic,38,38
Ecuador,109,115
Egypt,24,23
El Salvador,63,65
Equatorial Guinea,47,63
Eritrea,14,13
Estonia,96,96
Ethiopia,5,5
Fiji,17,19
Finland,68,68
France,109,108
Gabon,41,43
Gambia,30,31
Georgia,52,64
Germany,114,113
Ghana,68,70
Greece,57,56
Grenada,95,102
Guatemala,70,72
Guinea,14,14
Guinea-Bissau,7,7
Guyana,74,78
Haiti,70,70
Honduras,43,44
Hungary,85,84
Iceland,97,97
India,54,56
Indonesia,43,44
Iran (Islamic Republic of),41,44
Iraq,25,23
Ireland,99,97
Israel,103,109
Italy,100,96
Jamaica,113,113
Japan,56,56
Jordan,33,31
Kazakhstan,48,47
Kenya,52,52
Kiribati,13,13
Kuwait,81,83
Kyrgyzstan,19,19
Lao People's Democratic Republic,22,22
Latvia,85,82
Lebanon,82,81
Lesotho,18,18
Liberia,14,14
Libya,25,23
Liechtenstein,102,105
Lithuania,75,73
Luxembourg,87,86
Madagascar,9,9
Malawi,18,18
Malaysia,64,69
Maldives,113,115
Mali,3,3
Malta,119,115
Marshall Islands,45,47
Mauritania,14,14
Mauritius,97,96
Mexico,101,102
Monaco,57,56
Mongolia,76,79
Montenegro,32,30
Morocco,65,50
Mozambique,18,18
Myanmar,10,10
Namibia,18,18
Nauru,96,93
Nepal,48,49
Netherlands,93,93
New Zealand,91,95
Nicaragua,55,56
Niger,4,4
Nigeria,14,14
Norway,100,98
Oman,45,45
Pakistan,48,49
Panama,67,67
Papua New Guinea,101,99
Paraguay,35,35
Peru,79,79
Philippines,51,52
Poland,65,66
Portugal,82,82
Qatar,57,54
Republic of Korea,118,119
Republic of Moldova,76,75
Romania,79,79
Russian Federation,91,89
Rwanda,10,11
Saint Kitts and Nevis,92,88
Saint Lucia,62,59
Saint Vincent and the Grenadines,79,80
Samoa,35,41
San Marino,96,89
Sao Tome and Principe,44,48
Saudi Arabia,25,23
Senegal,12,14
Serbia,53,53
Seychelles,106,97
Sierra Leone,7,7
Singapore,56,56
Slovakia,92,89
Slovenia,87,85
Solomon Islands,49,50
Somalia,18,18
South Africa,65,65
South Sudan,18,18
Spain,126,127
Sri Lanka,48,49
State of Palestine,40,39
Sudan,13,13
Suriname,85,86
Swaziland,22,23
Sweden,95,95
Switzerland,99,100
Syrian Arab Republic,10,9
Tajikistan,9,8
Thailand,98,101
The former Yugoslav Republic of Macedonia,25,26
Timor-Leste,13,13
Togo,9,9
Tonga,56,56
Trinidad and Tobago,70,70
Tunisia,25,23
Turkey,22,21
Turkmenistan,57,56
Tuvalu,13,13
Uganda,14,14
Ukraine,99,96
United Arab Emirates,25,23
United Kingdom,81,82
United Republic of Tanzania,33,34
United States,68,70
Uruguay,89,89
Uzbekistan,26,26
Vanuatu,58,59
Venezuela (Bolivarian Republic of),71,76
Viet Nam,84,79
Yemen,1,1
Zambia,18,18
Zimbabwe,18,18
