Country or Area,Urban Net attendance ratio in primary education (NAR),Ratio of richest to poorest Net attendance ratio in primary education (NAR),Female Net attendance ratio in primary education (NAR),Poorest 20% Net attendance ratio in primary education (NAR),Richest 20% Net attendance ratio in primary education (NAR),Ratio of urban to rural Net attendance ratio in primary education (NAR),Rural Net attendance ratio in primary education (NAR),Male Net attendance ratio in primary education (NAR)
Afghanistan,73.0,0.0,51.0,0.0,0.0,1.6,47.0,59.0
Albania,90.0,0.0,99.0,0.0,0.0,1.0,91.0,99.0
Algeria,98.0,0.0,72.0,0.0,0.0,1.0,95.0,78.0
American Samoa,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Angola,85.0,0.0,66.0,0.0,0.0,1.3,67.0,67.0
Armenia,0.0,0.0,77.0,0.0,0.0,0.0,0.0,82.0
Australia,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Azerbaijan,74.0,0.0,96.0,0.0,0.0,1.0,72.0,95.0
Bahrain,0.0,0.0,85.0,0.0,0.0,0.0,0.0,85.0
Bangladesh,86.0,0.0,97.0,0.0,0.0,1.0,86.0,96.0
Belarus,92.0,0.0,75.0,0.0,0.0,1.0,95.0,75.0
Belize,97.0,0.0,93.0,0.0,0.0,1.0,94.0,92.0
Benin,74.0,0.0,87.0,0.0,0.0,1.3,55.0,90.0
Bhutan,96.0,0.0,60.0,0.0,0.0,1.1,90.0,61.0
Bolivia (Plurinational State of),98.0,0.0,64.0,0.0,0.0,1.0,96.0,69.0
Bosnia and Herzegovina,98.0,0.0,65.0,0.0,0.0,1.0,98.0,64.0
Botswana,89.0,0.0,94.0,0.0,0.0,1.0,85.0,94.0
Brazil,0.0,0.0,95.0,0.0,0.0,0.0,0.0,95.0
British Indian Ocean Territory,83.0,1.5,96.0,53.0,80.0,1.2,67.0,99.0
Brunei Darussalam,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Burkina Faso,79.0,1.0,45.0,89.0,91.0,2.1,38.0,40.0
Burundi,87.0,1.1,96.0,93.0,98.0,1.2,73.0,95.0
Cambodia,85.0,1.2,74.0,63.0,78.0,1.0,85.0,72.0
Cameroon,90.0,1.1,48.0,72.0,78.0,1.3,71.0,55.0
Cape Verde,80.0,1.7,79.0,43.0,73.0,1.3,61.0,82.0
Central African Republic,66.0,1.0,65.0,96.0,94.0,1.6,42.0,69.0
Chad,0.0,0.0,74.0,0.0,0.0,0.0,0.0,73.0
China,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Christmas Island,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Cocos (Keeling) Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Colombia,91.0,1.6,96.0,39.0,63.0,1.0,91.0,94.0
Comoros,41.0,1.1,52.0,85.0,94.0,1.4,29.0,48.0
Congo,0.0,0.0,40.0,0.0,0.0,0.0,0.0,66.0
Cook Islands,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Costa Rica,96.0,1.0,90.0,95.0,97.0,1.0,96.0,87.0
Côte d'Ivoire,67.0,1.0,81.0,99.0,98.0,1.4,48.0,85.0
Democratic People's Republic of Korea,100.0,1.2,98.0,33.0,39.0,1.0,99.0,98.0
Democratic Republic of the Congo,86.0,1.4,91.0,64.0,87.0,1.2,70.0,94.0
Djibouti,67.0,1.1,80.0,79.0,86.0,1.4,49.0,91.0
