Country or Area,Ratio of school attendance of orphans to school attendance of non-orphans
Afghanistan,88.0
Angola,85.0
Bangladesh,84.0
Belize,66.0
Benin,90.0
Bhutan,70.0
Botswana,95.0
British Indian Ocean Territory,95.0
Burkina Faso,101.0
Burundi,82.0
Cambodia,86.0
Cameroon,91.0
Cape Verde,100.0
Central African Republic,89.0
Chad,117.0
Comoros,88.0
Congo,100.0
Côte d'Ivoire,83.0
Democratic Republic of the Congo,74.0
Djibouti,88.0
Dominican Republic,98.0
Equatorial Guinea,100.0
Eritrea,88.0
Ethiopia,90.0
French Southern Territories,95.0
Gabon,100.0
Gambia,103.0
Ghana,76.0
Guinea,88.0
Guinea-Bissau,109.0
Haiti,86.0
Honduras,108.0
India,72.0
Iran (Islamic Republic of),72.0
Iraq,84.0
Kenya,95.0
Kiribati,88.0
Lao People's Democratic Republic,88.0
Lesotho,98.0
Liberia,85.0
Madagascar,74.0
Malawi,97.0
Maldives,72.0
Mali,92.0
Mauritania,66.0
Mauritius,95.0
Mayotte,95.0
Mongolia,102.0
Mozambique,83.0
Myanmar,88.0
Namibia,100.0
Nepal,88.0
Niger,67.0
Nigeria,117.0
Pakistan,72.0
Rwanda,91.0
Réunion,95.0
Saint Helena,100.0
Sao Tome and Principe,88.0
Senegal,97.0
Seychelles,95.0
Sierra Leone,88.0
Solomon Islands,88.0
Somalia,78.0
South Africa,101.0
South Sudan,78.0
Sri Lanka,72.0
Sudan,96.0
Swaziland,99.0
Thailand,93.0
Timor-Leste,75.0
Togo,86.0
Tuvalu,88.0
Uganda,88.0
United Republic of Tanzania,90.0
Vanuatu,92.0
Yemen,88.0
Zambia,92.0
Zimbabwe,95.0
